instrument,phase,strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,profit_factor,avg_trade_return,avg_bars_held,trades_per_year,params
NVDA,walk_forward,tsmom,229.29284771208154,0.2617780876622766,0.37418860152436884,0.8059072831249218,1.0182935472294459,-0.6024094687484274,0.4345517480097876,0.6797285835453775,241,0.4190871369294606,3.1820717920035326,0.05851610779844309,16.62240663900415,10.302290076335877,
NVDA,walk_forward,ma_cross,59.65644688570492,0.19183075433998242,0.39110185449783125,0.6426543751994063,0.8276840750427122,-0.6499205251745634,0.29516032639292045,0.7525021204410517,134,0.44029850746268656,2.688281120017513,0.06464002594896637,33.1044776119403,5.72824427480916,
NVDA,walk_forward,double_low,5.221070879621583,0.08127514510973044,0.24581353411033843,0.4390930934436732,0.3384741250194591,-0.5196442924707371,0.15640534551682259,0.24698897370653095,241,0.6556016597510373,1.6659747543114616,0.011794561098289027,6.04149377593361,10.302290076335877,
NVDA,walk_forward,macd_momentum,5.847843330840363,0.08572123256489905,0.3606485059757334,0.4097428211438254,0.43348063285751914,-0.7897222359249493,0.10854605412559956,0.5592875318066157,371,0.444743935309973,1.473082019382058,0.012792982353386656,8.884097035040432,15.859541984732825,
NVDA,walk_forward,rsi_reversion,0.4974658566654735,0.017410403214228376,0.18923233662993,0.1843696622582876,0.11029636787392973,-0.6568882493030184,0.026504360875234757,0.15148430873621713,135,0.6666666666666666,1.570417968035043,0.01092582685099195,6.607407407407408,5.770992366412214,
NVDA,walk_forward,bollinger_reversion,0.3985140208840465,0.014441432783655284,0.14694511942002028,0.17220333221653197,0.07396925703689511,-0.5357526104186523,0.02695541282079865,0.10127226463104326,92,0.6413043478260869,1.6284445389788,0.012773916129788995,6.478260869565218,3.932824427480916,
NVDA,walk_forward,buy_hold,2458.66420906451,0.3962187639359267,0.49879068125094267,0.9193890980332955,1.310681268789706,-0.850784423550051,0.46570994128293114,0.999830364715861,1,1.0,,2458.664209064512,5894.0,0.042748091603053436,
NVDA,in_sample,tsmom,5022.373261087032,0.36492267213581897,0.4172497672384206,0.9491795787329719,1.1816855273986073,-0.6812447999954662,0.5356703965127478,0.5880052151238592,307,0.43973941368078173,2.840758208858878,0.04071570305674885,13.221498371335505,11.207301173402868,"{""lookback"": 20, ""trend_n"": 0, ""allow_short"": false}"
NVDA,in_sample,ma_cross,2046.7153261729748,0.32093292991288713,0.42720814362289944,0.8602251112078951,1.0895377494257823,-0.7580222055194175,0.4233819637156607,0.6452267130233232,121,0.3305785123966942,3.786931805484478,0.10333527073269319,36.8099173553719,4.417209908735333,"{""fast"": 5, ""slow"": 50, ""use_ema"": true, ""allow_short"": false}"
NVDA,in_sample,donchian_breakout,1248.988807422524,0.29734428528413615,0.42453998274578986,0.8205187227959085,1.003822562821773,-0.6901919816114573,0.4308138796250544,0.6035057221497899,77,0.5584415584415584,3.920492106334389,0.1428146344864212,54.103896103896105,2.8109517601043024,"{""entry_n"": 20, ""exit_n"": 20, ""allow_short"": false}"
