symbol,date,strategy,side,entry_time,entry,stop,target,exit_time,exit,outcome,pnl_pct,risk_pct,r_multiple
DIA,2026-06-23,tjr,1,11:20:00,516.563293,515.150024,519.3898310000001,15:55:00,516.570007,eod,-0.0005870025607877632,0.002735906749765926,-0.21455503219836894
DIA,2026-06-29,tjr,1,10:45:00,521.609985,519.400024,526.0299070000001,15:55:00,521.679993,eod,-0.0004657847778740226,0.0042368073149520345,-0.10993768261073157
GLD,2026-06-08,tjr,1,11:25:00,397.359985,396.920013,398.239929,11:40:00,398.239929,target,0.0016144756221491592,0.0011072378110745388,1.4581109911540706
GLD,2026-06-11,tjr,1,11:20:00,374.390015,372.799988,377.57006900000005,13:30:00,377.57006900000005,target,0.00789396050265927,0.004246980251329674,1.8587231480974686
TLT,2026-06-01,tjr,1,12:15:00,84.970001,84.809998,85.290007,12:55:00,85.290007,target,0.0031661056400364325,0.0018830528200182465,1.6813684705911507
TLT,2026-06-17,tjr,1,11:50:00,86.339996,86.129997,86.75999399999999,14:00:00,86.129997,stop,-0.003032233144879836,0.00243223314487988,-1.246686877556546
TLT,2026-06-18,tjr,1,11:20:00,87.110001,87.000099,87.32980499999998,11:25:00,87.000099,stop,-0.0018616461799832555,0.0012616461799832956,-1.4755691488780984
TLT,2026-06-26,tjr,1,11:50:00,87.280098,87.224998,87.39029799999999,11:50:00,87.224998,stop,-0.0012313008493642467,0.0006313008493642609,-1.9504184900181967
TLT,2026-07-02,tjr,1,10:20:00,85.464996,85.410004,85.57498,10:45:00,85.57498,target,0.000686889430147431,0.0006434447150737431,1.0675189554843245
XLE,2026-06-05,tjr,1,11:40:00,58.25,57.919998,58.910004,11:55:00,57.919998,stop,-0.0062652703862660745,0.005665270386266101,-1.105908449039698
XLE,2026-06-22,tjr,1,11:10:00,53.455002,53.240002,53.88500200000001,12:15:00,53.88500200000001,target,0.007444148983475941,0.004022074491737993,1.8508232502325492
XLF,2026-07-02,tjr,1,11:05:00,55.264999,55.005001,55.78499500000001,15:55:00,55.610001,eod,0.0056426853567842945,0.00470456898045005,1.1994053823490758
SMH,2026-06-15,tjr,1,11:10:00,643.619995,639.25,652.359985,15:55:00,647.469971,eod,0.005381753254884481,0.006789712926802432,0.792633401868874
SMH,2026-06-24,tjr,1,11:10:00,620.22998,615.880005,628.9299299999999,13:05:00,615.880005,stop,-0.007613487158424647,0.007013487158424642,-1.0855494544221531
AAPL,2026-06-12,tjr,1,11:35:00,292.079987,290.890015,294.45993100000004,12:05:00,290.890015,stop,-0.004674130556572575,0.004074130556572545,-1.1472706855287411
NVDA,2026-06-24,tjr,1,11:20:00,200.589996,199.723007,202.32397400000005,12:40:00,199.723007,stop,-0.004922194612337626,0.004322194612337586,-1.1388183674764105
TSLA,2026-06-12,tjr,1,11:35:00,396.660004,394.350311,401.2793900000001,11:40:00,394.350311,stop,-0.00642285326654719,0.005822853266547232,-1.103042266829392
TSLA,2026-06-17,tjr,1,10:35:00,399.859985,397.839996,403.899963,10:45:00,397.839996,stop,-0.005651740798719839,0.005051740798719856,-1.1187709393466956
AMZN,2026-06-08,tjr,1,11:20:00,246.889999,246.179993,248.31001099999997,11:30:00,246.179993,stop,-0.0034757989504467617,0.0028757989504467245,-1.2086376726394013
AMZN,2026-06-11,tjr,1,12:55:00,236.320099,235.179993,238.600311,13:30:00,238.600311,target,0.009048828049957814,0.0048244140249789035,1.8756325645159329
AMZN,2026-06-12,tjr,1,11:40:00,236.160004,234.929993,238.62002599999997,15:55:00,238.529999,eod,0.009435547763625585,0.005208379823706264,1.8116089999195344
AMZN,2026-06-16,tjr,1,12:10:00,247.285004,245.451096,250.95281999999995,15:55:00,246.070007,eod,-0.005513346868376966,0.007416171503873238,-0.7434222449544909
META,2026-06-24,tjr,1,11:45:00,562.830017,560.549988,567.390075,12:35:00,560.549988,stop,-0.004651008174995818,0.004051008174995779,-1.148111278496905
AVGO,2026-06-02,tjr,1,11:30:00,480.031189,478.0,484.09356699999995,11:45:00,484.09356699999995,target,0.0078627376159927,0.004231368807996314,1.8582019135590198
AVGO,2026-06-08,tjr,1,12:25:00,395.920013,391.519989,404.72006099999993,15:55:00,396.704987,eod,0.0013826580476496327,0.011113416486981106,0.12441341051776092
AVGO,2026-06-15,tjr,1,11:30:00,391.850006,389.653198,396.2436220000001,15:55:00,394.130005,eod,0.005218550376645915,0.005606247202660583,0.9308455706643337
AVGO,2026-06-29,tjr,1,10:45:00,367.359985,363.01001,376.05993499999994,13:30:00,376.05993499999994,target,0.023082356149921757,0.01184117807496092,1.949329366030832
NFLX,2026-06-17,tjr,1,11:35:00,77.940002,77.680099,78.45980800000002,13:05:00,77.680099,stop,-0.003934654777145229,0.003334654777145225,-1.1799286703116116
COIN,2026-06-24,tjr,1,11:30:00,154.369995,151.850006,159.40997299999995,12:05:00,151.850006,stop,-0.0169243446370519,0.01632434463705192,-1.0367549211524327
MSTR,2026-06-29,tjr,1,11:05:00,85.470001,84.050003,88.30999699999998,11:35:00,88.30999699999998,target,0.03262798603921839,0.016613993019609214,1.96388586420544
HOOD,2026-06-24,tjr,1,12:05:00,99.5,97.5951,103.3098,13:15:00,97.5951,stop,-0.019744723618090387,0.019144723618090432,-1.0313402278334798
HOOD,2026-06-30,tjr,1,12:15:00,101.32,100.339996,103.28000799999998,13:25:00,100.339996,stop,-0.010272364784840015,0.009672364784840052,-1.0620323998677523
SOFI,2026-06-16,tjr,1,11:40:00,17.459999,17.112,18.155997000000003,15:55:00,17.705,eod,0.013432131387865299,0.01993121534543052,0.6739243520814592
MARA,2026-06-18,tjr,1,11:15:00,13.98,13.795,14.350000000000001,15:55:00,14.225,eod,0.016925035765379116,0.013233190271816917,1.2789837837837805
MARA,2026-07-01,tjr,1,11:50:00,13.54,13.27,14.079999999999998,15:55:00,13.385,eod,-0.012047562776957132,0.019940915805022125,-0.6041629629629623
RIOT,2026-06-15,tjr,1,12:45:00,27.610001,27.525,27.780003000000004,13:05:00,27.780003000000004,target,0.005557261638636058,0.003078630819318039,1.8051081681391963
RIOT,2026-06-17,tjr,1,11:25:00,27.370001,27.1007,27.908602999999996,13:30:00,27.908602999999996,target,0.019078552441412034,0.009839276220705974,1.9390199048648253
RIOT,2026-06-24,tjr,1,11:10:00,27.98,27.15,29.640000000000004,13:30:00,27.15,stop,-0.03026404574696213,0.029664045746962183,-1.0202265060240945
RIOT,2026-06-29,tjr,1,10:55:00,27.48,26.209999,30.020002,15:55:00,27.754999,eod,0.009407241630276553,0.04621546579330424,0.20355180822692234
SMCI,2026-06-08,tjr,1,11:25:00,43.450001,42.250099,45.849805,15:55:00,43.970001,eod,0.01136777878094868,0.02761569556695756,0.4116419502592697
MU,2026-06-05,tjr,1,10:25:00,934.409973,914.299988,974.6299430000001,12:15:00,914.299988,stop,-0.02212158643537938,0.021521586435379422,-1.0278789856780082
MU,2026-06-08,tjr,1,10:40:00,936.768982,916.5,977.3069460000002,15:55:00,949.460022,eod,0.012947673165805074,0.021637119065071743,0.5984009759740232
MU,2026-06-17,tjr,1,10:25:00,1037.469971,1019.590027,1073.229859,14:40:00,1073.229859,target,0.033868359566621084,0.01723417978331059,1.9651854624041274
INTC,2026-06-04,tjr,1,10:45:00,109.010002,107.480103,112.0698,13:55:00,112.0698,target,0.0274689656349149,0.014034482817457433,1.9572481574273881
QCOM,2026-05-29,tjr,1,11:40:00,250.559998,248.539993,254.600008,13:35:00,254.600008,target,0.015523922542496061,0.008061961271248084,1.9255764224345846
QCOM,2026-06-01,tjr,1,10:55:00,232.759995,226.811798,244.656389,15:55:00,228.979996,eod,-0.01683989981611751,0.025555065852274114,-0.658965228791181
QCOM,2026-06-05,tjr,1,11:00:00,228.510101,226.100006,233.33029099999996,11:20:00,226.100006,stop,-0.011146995469578713,0.010546995469578758,-1.0568882390943057
QCOM,2026-06-08,tjr,1,11:25:00,220.0,215.929993,228.140014,15:55:00,217.690002,eod,-0.011099990909090928,0.018500031818181835,-0.5999984766610972
QCOM,2026-06-10,tjr,1,10:35:00,199.464706,198.100006,202.194106,10:45:00,198.100006,stop,-0.0074418119043075485,0.0068418119043075175,-1.087696067707193
QCOM,2026-06-24,tjr,1,11:20:00,197.050003,194.600098,201.949813,13:15:00,194.600098,stop,-0.013032910239539518,0.01243291023953956,-1.0482590148597566
QCOM,2026-06-29,tjr,1,11:05:00,188.289993,186.613693,191.642593,11:40:00,191.642593,target,0.017205513434800524,0.008902756717400259,1.932605144783154
