symbol,date,strategy,side,entry_time,entry,stop,target,exit_time,exit,outcome,pnl_pct,risk_pct,r_multiple
TLT,2026-07-01,orb,1,09:45:00,85.529999,85.477501,85.634995,10:00:00,85.634995,target,0.0006275926718998687,0.0006137963359499155,1.022477058173705
XLE,2026-06-01,orb,1,09:45:00,57.224998,57.037498,57.599998,09:55:00,57.599998,target,0.005953080176603832,0.003276540088301969,1.8168800063999675
XLE,2026-06-15,orb,1,09:45:00,55.4925,55.25625,55.964999999999996,09:55:00,55.25625,stop,-0.004857332071901598,0.0042573320719015775,-1.1409333333333391
XLF,2026-06-04,orb,1,09:45:00,51.849998,51.664998999999995,52.21999600000001,10:05:00,52.21999600000001,target,0.006535930844202054,0.0035679654221009768,1.8318369353348183
XLF,2026-06-12,orb,1,10:25:00,53.150002,52.9800515,53.489903,10:55:00,53.489903,target,0.005795126758414804,0.0031975633792073756,1.8123571204556774
SMH,2026-06-04,orb,1,10:55:00,618.580017,613.9450684999999,627.8499140000001,12:50:00,627.8499140000001,target,0.014385768607523875,0.0074928843037618915,1.9199240271601856
SMH,2026-06-08,orb,1,10:35:00,599.549988,595.519989,607.6099859999999,15:20:00,595.519989,stop,-0.007321706414244743,0.0067217064142447705,-1.089263047658321
SMH,2026-06-09,orb,1,09:45:00,611.119995,607.825012,617.709961,09:55:00,607.825012,stop,-0.005991711982848823,0.005391711982848805,-1.1112819085864816
SMH,2026-06-23,orb,1,09:50:00,630.289978,626.019989,638.829956,10:45:00,626.019989,stop,-0.007374642068003822,0.006774642068003832,-1.088565564641968
AAPL,2026-06-08,orb,1,10:55:00,315.170013,311.846008,321.818023,13:35:00,311.846008,stop,-0.011146704517856553,0.010546704517856526,-1.056889808469003
AAPL,2026-06-18,orb,1,10:45:00,300.4599,298.03994750000004,305.29980499999994,11:00:00,298.03994750000004,stop,-0.00865416130405412,0.008054161304054102,-1.074495652290699
MSFT,2026-05-29,orb,1,10:00:00,441.789886,437.07493550000004,451.219787,15:55:00,448.640015,eod,0.014905400230008792,0.010672382164946134,1.3966329165915905
MSFT,2026-06-01,orb,1,10:00:00,465.779999,462.350006,472.6399849999999,10:00:00,462.350006,stop,-0.007963976571265307,0.007363976571265285,-1.0814777171265402
MSFT,2026-06-18,orb,1,10:15:00,379.520996,376.40049750000003,385.761993,11:00:00,376.40049750000003,stop,-0.008822202547128687,0.008222202547128634,-1.0729731475916495
MSFT,2026-06-26,orb,1,09:45:00,361.718811,358.574402,368.007629,10:45:00,368.007629,target,0.016785930199798283,0.008692965099899093,1.9309786714769086
NVDA,2026-06-01,orb,1,09:50:00,220.779999,218.2425005,225.854996,15:55:00,224.419998,eod,0.01588699617939564,0.01149333504616964,1.382279043948194
NVDA,2026-06-18,orb,1,09:50:00,207.990005,207.2450025,209.48001,10:20:00,209.48001,target,0.006563829819610834,0.003581914909805393,1.8324918332488946
AMZN,2026-06-15,orb,1,09:45:00,247.380005,246.0550005,250.03001400000002,10:00:00,246.0550005,stop,-0.005956150348529653,0.005356150348529606,-1.1120207538917877
AMZN,2026-06-18,orb,1,11:00:00,240.880005,238.4500045,245.74000600000002,15:55:00,244.352493,eod,0.013815841613752756,0.010088012494021683,1.3695305811665324
AMZN,2026-06-29,orb,1,09:45:00,240.399994,237.0999985,246.99998499999998,11:30:00,246.99998499999998,target,0.026854206176061646,0.013727103088030835,1.9562908505784309
META,2026-06-02,orb,1,09:50:00,604.48999,600.5849915,612.2999870000001,10:10:00,600.5849915,stop,-0.007059988692285923,0.006459988692285927,-1.0928794195439497
META,2026-06-03,orb,1,10:00:00,614.299988,607.2850040000001,628.3299559999998,15:55:00,623.109985,eod,0.013741522337780077,0.011419476049216386,1.2033408782115738
META,2026-06-18,orb,1,11:50:00,576.599976,570.0650025,589.6699229999999,15:55:00,577.219971,eod,0.000475260190437577,0.011333634706915039,0.04193360759612311
META,2026-07-01,orb,1,10:00:00,610.450012,602.774994,625.8000480000001,11:00:00,625.8000480000001,target,0.02454544303096855,0.012572721515484256,1.9522776354140179
GOOGL,2026-06-02,orb,1,10:05:00,366.700012,362.57000700000003,374.960022,15:50:00,362.57000700000003,stop,-0.011862625756336186,0.01126262575633617,-1.0532735449957098
GOOGL,2026-06-18,orb,1,13:25:00,367.660004,363.51499950000004,375.95001299999996,15:55:00,367.98999,eod,0.0002975303171676608,0.011274015272001059,0.02639080309803867
