component,kind,avg_week,median_week,pct_pos_weeks,best_week,worst_week,n_weeks,cagr,max_dd
swing:tsmom:TSLA,swing,0.004475286086409331,0.0,0.32216905901116427,0.3201649777807476,-0.2471465066164984,627,0.16218597399947488,-0.5405195783593083
swing:macd_momentum:TSLA,swing,0.004140512975930467,0.0,0.3317384370015949,0.33338327587143235,-0.16333785050300376,627,0.14070028405435742,-0.6664296537988388
buy&hold:SSO,baseline,0.004034981919330872,0.006620533591255473,0.5726577437858509,0.2541252857765528,-0.34045970817025817,1046,0.1567576861046578,-0.846673121698465
swing:tsmom:TQQQ,swing,0.00400451210445068,0.0,0.42967542503863987,0.3125111431144778,-0.27485862158477203,647,0.1255588300289745,-0.7495647191087045
swing:ma_cross:UPRO,swing,0.0036496583426694263,0.0,0.4426470588235294,0.17402103763186716,-0.1824236458303906,680,0.15521018804530118,-0.5825529509061723
swing:donchian_breakout:TQQQ,swing,0.003320639246680819,0.0,0.3462132921174652,0.21163289827043008,-0.18760818853319705,647,0.12189751931794368,-0.635625194618161
swing:macd_momentum:UPRO,swing,0.0032658941389160597,0.0,0.36911764705882355,0.3843955077220105,-0.17768556347857412,680,0.1369191256329203,-0.4604539657665604
swing:turn_of_month:UPRO,swing,0.003120855500656378,0.0,0.3191176470588235,0.22943163715650905,-0.229093775457209,680,0.13167185495485434,-0.36694730218045046
swing:donchian_breakout:TSLA,swing,0.0030959584511395253,0.0,0.19457735247208932,0.2779855878077473,-0.21141761027800332,627,0.12011979839942932,-0.45813114762457774
swing:macd_momentum:NVDA,swing,0.0029029419127381577,0.0,0.3499591169255928,0.3440201758796042,-0.3884592504461629,1223,0.0857220670749752,-0.7897236039542781
swing:tsmom:UPRO,swing,0.0025531305924492973,0.0,0.4308823529411765,0.15266449413683048,-0.17135198784182037,680,0.08835235789954887,-0.4872375527288897
buy&hold:QQQ,baseline,0.0025484283463899017,0.0040662576843817355,0.5610098176718092,0.20417979822447974,-0.24619001523752382,1426,0.1084388193100847,-0.8296390383240588
swing:turn_of_month:NVDA,swing,0.002517481276718582,0.0,0.2902698282910875,0.23021161472037943,-0.21399759441265787,1223,0.10373456804297354,-0.5095697003200226
swing:rsi_reversion:TQQQ,swing,0.0025092328123889306,0.0,0.19629057187017002,0.19148511234240306,-0.20394631161452337,647,0.10384306743108951,-0.4803922191935459
swing:turn_of_month:BTC,swing,0.0023884766226735256,0.0,0.24947145877378435,0.22200972434576238,-0.22887777529550735,473,0.056917499644697944,-0.5679005784151546
swing:high_52w:NVDA,swing,0.0023620408583104914,0.0,0.17007358953393295,0.2539448320032147,-0.1705119953925397,1223,0.14355944504896967,-0.4875841957479854
buy&hold:EEM,baseline,0.0023507118659279016,0.0032233045139289374,0.5536303630363036,0.2830471040482625,-0.20084616431443558,1212,0.10007522321338902,-0.6643428786783456
buy&hold:SLV,baseline,0.002340555161693061,0.0018686470697028001,0.5218216318785579,0.17767901166018873,-0.2645051351428087,1054,0.07102680750445733,-0.7628015134490687
swing:ma_cross:SLV,swing,0.0023385273674639776,0.0,0.3562130177514793,0.17767901166018873,-0.2645051351428087,845,0.09437031419081499,-0.4810574495757546
buy&hold:GOLD,baseline,0.0023089991435706783,0.0034302839074480396,0.5685693106004448,0.1319215961897402,-0.09635228647009253,1349,0.11180681708790141,-0.44363844111731865
buy&hold:SPY,baseline,0.0022489648369228327,0.0034642748076434415,0.5702005730659025,0.13292242652272912,-0.1979335849950138,1745,0.10821518410194364,-0.5518942940678528
buy&hold:GLD,baseline,0.002185603102497652,0.0033800862269668386,0.5633303808680248,0.13805426321425807,-0.10298583328691813,1129,0.10437802799299356,-0.45555012634596026
swing:turn_of_month:TQQQ,swing,0.002164165060581716,0.0,0.28129829984544047,0.28905933098320324,-0.20394631161452337,647,0.060937247093304725,-0.5983246226435104
swing:high_52w:SSO,swing,0.002143415939790138,0.0,0.3015267175572519,0.08970862162673976,-0.08216993644736936,524,0.18514462773493245,-0.16042203034159075
swing:turn_of_month:SSO,swing,0.0021348028227782434,0.0,0.3106332138590203,0.15077187352458976,-0.15449940462092582,837,0.09830498790466335,-0.2475456609298916
buy&hold:IWM,baseline,0.002115178109942423,0.003209159290465724,0.5524578136463683,0.18256513630734927,-0.17264573610972433,1363,0.08863128549340749,-0.5863995941022999
swing:turn_of_month:TSLA,swing,0.002101710480034037,0.0,0.266347687400319,0.27107336590172393,-0.19968612664283425,627,0.05946636783700221,-0.555664615709311
swing:high_52w:VNQ,swing,0.0020903248902461504,0.0,0.44936708860759494,0.05022979514957715,-0.10148916947462017,158,0.10481855551672004,-0.13192319242251704
buy&hold:VNQ,baseline,0.0020322456213444804,0.003072308192422435,0.5580985915492958,0.2343211741889899,-0.249119156206991,1136,0.07717981201331359,-0.7306551064739295
swing:double_low:NVDA,swing,0.00200943510624023,0.0,0.22812755519215044,0.30067542639080136,-0.21399759441265787,1223,0.08127550997259014,-0.5196412337569447
swing:donchian_breakout:SSO,swing,0.001981492226259568,0.0,0.3954599761051374,0.1171067526467735,-0.10633880618636649,837,0.0895636174028338,-0.3305386103907726
swing:ma_cross:SSO,swing,0.0019809563466635684,0.0,0.4635603345280765,0.15056732614067236,-0.21098728626614405,837,0.07920260315866656,-0.512678411976474
swing:tsmom:SSO,swing,0.0019462965079158443,0.0,0.4444444444444444,0.11190797198810443,-0.1161293032180557,837,0.082616883548986,-0.39580143323353156
swing:high_52w:TQQQ,swing,0.001945317302239119,0.0,0.2797527047913447,0.16814694480182468,-0.1622581664359759,647,0.06235099336672234,-0.5184082608616443
rotation:core blend/top3,rotation,0.0019335052183549915,0.0030868704332324137,0.5698198198198198,0.08459732160817723,-0.12251639697627803,444,0.09062897811449022,-0.23470489973649644
swing:donchian_breakout:UPRO,swing,0.001784128308874211,0.0,0.36176470588235293,0.17402103763186716,-0.17768556347857412,680,0.06235621046744222,-0.5030007859237067
swing:double_low:BTC,swing,0.0016884448117085824,0.0,0.18604651162790697,0.26034656030497016,-0.2131682190097104,473,0.03383717155601085,-0.6358698664925386
swing:tsmom:QQQ,swing,0.0016634726559368943,0.0,0.4609695973705834,0.07560177652223032,-0.14843455100995862,1217,0.07786698888136345,-0.3601155869646787
swing:tsmom:GOLD,swing,0.0016612298724537416,0.0,0.4077328646748682,0.09427225336927192,-0.09635228647009253,1138,0.07948044993763537,-0.32302283983547897
swing:bollinger_reversion:UPRO,swing,0.0016020295120255275,0.0,0.11176470588235295,0.15987086780528137,-0.22467157816613648,680,0.07423032932318341,-0.4110530624510147
swing:double_low:UPRO,swing,0.0015584339212031924,0.0,0.20294117647058824,0.2278116342667531,-0.22467157816613648,680,0.05873403353210205,-0.5033900644113839
buy&hold:EFA,baseline,0.0015538722750466731,0.0027566334450528363,0.5582112567463376,0.12578939743509365,-0.2042081888933387,1297,0.06508950937459601,-0.610373160317805
swing:bollinger_reversion:TQQQ,swing,0.0015480348147320405,0.0,0.10510046367851623,0.19148511234240306,-0.20394631161452337,647,0.06275926718635838,-0.5687938555517196
swing:turn_of_month:EEM,swing,0.0014673704565133436,0.0,0.2851445663010967,0.31652720397622236,-0.1193506374818033,1003,0.06816533455856466,-0.24211577522764038
swing:double_low:TQQQ,swing,0.0014290094813747864,0.0,0.23183925811437403,0.19148511234240306,-0.20394631161452337,647,0.033407795121918715,-0.6525883759495027
swing:bollinger_reversion:BTC,swing,0.0013290723376206371,0.0,0.10570824524312897,0.1519564894831511,-0.2131682190097104,473,0.0366634688978007,-0.35976316806970543
swing:high_52w:SLV,swing,0.0012716688537549694,0.0,0.1514792899408284,0.17767901166018873,-0.1880314416949116,845,0.06790146944920528,-0.5961860485346966
swing:bollinger_reversion:SSO,swing,0.0012034462089709856,0.0,0.11230585424133811,0.10461926938650534,-0.15195197777308356,837,0.059790357974085495,-0.2982844648990274
swing:turn_of_month:QQQ,swing,0.001153715010842737,0.0,0.2744453574363188,0.1453603413664475,-0.10629899334377979,1217,0.054737276032906346,-0.20312347855037038
swing:tsmom:GLD,swing,0.0011465189881929001,0.0,0.3847826086956522,0.08713710322050372,-0.10298583328691813,920,0.052303194419153876,-0.46355201622003517
swing:ma_cross:QQQ,swing,0.0011188864952278554,0.0,0.44042728019720623,0.07560177652223032,-0.10626661790754166,1217,0.04877252192590409,-0.49318080153011046
swing:turn_of_month:IWM,swing,0.00110714218161597,0.0,0.2792714657415438,0.19706278979659575,-0.1007157943255792,1153,0.049320524031500446,-0.3122336522338597
swing:tsmom:VNQ,swing,0.0010997393659251252,0.0,0.37971952535059333,0.16797650384848017,-0.10213394355471317,927,0.04746979016579367,-0.30920047557800945
swing:donchian_breakout:SLV,swing,0.0010878838472968134,0.0,0.293491124260355,0.17767901166018873,-0.1880314416949116,845,0.033322487346263197,-0.49421101440853166
swing:double_low:SSO,swing,0.0010533611335026504,0.0,0.21863799283154123,0.1478727778696911,-0.15195197777308356,837,0.04541325444991573,-0.3329290129457012
swing:ma_cross:SPY,swing,0.0010118918702693431,0.0,0.4235523747560182,0.08174334345075662,-0.11161100481548192,1537,0.0464873108736632,-0.5542281268325406
swing:ma_cross:GLD,swing,0.001002652619466494,0.0,0.3706521739130435,0.08713710322050372,-0.0905744444828731,920,0.044603994946686765,-0.39908281468953954
swing:macd_momentum:GOLD,swing,0.0009852234019082703,0.0,0.3954305799648506,0.10728993589796776,-0.0705070532435782,1138,0.04333484382390207,-0.3534373006729711
swing:high_52w:QQQ,swing,0.000979462256109915,0.0,0.13191489361702127,0.038837702008759134,-0.049082206241131354,470,0.24756652578695082,-0.10439613922058621
swing:turn_of_month:VNQ,swing,0.0009577740655590245,0.0,0.27292340884573896,0.08135450168810765,-0.11169692897303496,927,0.043662985619237205,-0.33767293398930853
swing:macd_momentum:QQQ,swing,0.0009516900908403183,0.0,0.37551355792933444,0.0953812444453579,-0.0912488829114847,1217,0.04122627727184791,-0.4886704045279696
swing:rsi_reversion:SSO,swing,0.0009506980330211166,0.0,0.15770609318996415,0.10461926938650534,-0.15195197777308356,837,0.04229663050882171,-0.3061144234570442
swing:turn_of_month:SPY,swing,0.0009288375344254437,0.0,0.3018867924528302,0.1030097569917543,-0.0906669184849489,1537,0.04384171540143367,-0.25620542750314934
swing:ma_cross:EFA,swing,0.0009205725447094251,0.0,0.40441176470588236,0.08347081411771407,-0.08960049424891903,1088,0.04091998693866161,-0.3142084718776301
swing:tsmom:SLV,swing,0.0009053676901237159,0.0,0.3242603550295858,0.17767901166018873,-0.1880314416949116,845,0.018139699919270447,-0.6730166011789045
swing:macd_momentum:SSO,swing,0.0008951188603384598,0.0,0.3739545997610514,0.24875429659177328,-0.14938755996218767,837,0.022244971202671993,-0.4777577024063958
swing:donchian_breakout:GOLD,swing,0.0008822927804583396,0.0,0.29525483304042177,0.08451754452155869,-0.09635228647009253,1138,0.039470380357260026,-0.289384064026592
buy&hold:TLT,baseline,0.0008682899447771377,0.0015233172338271483,0.5420336269015212,0.08801250097526592,-0.07693238258837132,1249,0.036906017475534014,-0.4835112085753158
swing:ma_cross:GOLD,swing,0.0008653977958583718,0.0,0.3954305799648506,0.09427225336927192,-0.0928298380723831,1138,0.035110660340655686,-0.48463135723641704
swing:rsi_reversion:UPRO,swing,0.0008508761892436088,0.0,0.12941176470588237,0.2278116342667531,-0.22467157816613648,680,0.030702731111434955,-0.40961657271495955
swing:tsmom:EFA,swing,0.0008271541327940516,0.0,0.3897058823529412,0.08347081411771407,-0.08686044664776293,1088,0.0369959059507301,-0.298855687447245
swing:donchian_breakout:QQQ,swing,0.0008144151023365477,0.0,0.36729663105998356,0.06873380192978185,-0.07164566952704288,1217,0.03550017191800103,-0.37079232977778454
swing:high_52w:UPRO,swing,0.0008125155023816478,0.0,0.2852941176470588,0.14487202470781657,-0.11389467243957951,680,0.027413858943077463,-0.4976429603697389
swing:macd_momentum:GLD,swing,0.0008052365896560739,0.0,0.40217391304347827,0.08743615811788263,-0.07209564368311894,920,0.03451986400213469,-0.2945599800091735
swing:high_52w:SPY,swing,0.0007835382019726143,0.0,0.34285714285714286,0.034416993071207935,-0.04863529096730479,105,0.036504277959695575,-0.22774375687168802
swing:rsi_reversion:BTC,swing,0.0007463375657202783,0.0,0.12896405919661733,0.22714446607493755,-0.21392553593509056,473,0.012830067273894574,-0.49709337883152993
swing:ma_cross:IWM,swing,0.0007192005459851236,0.0,0.37294015611448394,0.0812089156611926,-0.08778782219327697,1153,0.027730530718341084,-0.5122418913557059
swing:tsmom:SPY,swing,0.0007180402209332973,0.0,0.4216005204944697,0.07014467382737832,-0.10193948213307746,1537,0.030709359316771545,-0.44670953800025726
buy&hold:IEF,baseline,0.0007145267099845544,0.00097012290898979,0.5524419535628503,0.03394896546268944,-0.03158648576402734,1249,0.03586916434931564,-0.2392476386370973
swing:turn_of_month:GOLD,swing,0.0006893311581823884,0.0,0.31195079086115995,0.08842664965829417,-0.09450817884009233,1138,0.030450769798298083,-0.4616261350708073
swing:ma_cross:EEM,swing,0.0006791422542044891,0.0,0.34795613160518446,0.08594014879140643,-0.1064343471966741,1003,0.02408901713174738,-0.48349270916833986
swing:bollinger_reversion:IWM,swing,0.000660313245888418,0.0,0.08933217692974849,0.044763789488673655,-0.037911395038844886,1153,0.033972058496790414,-0.10247822551022112
buy&hold:DBC,baseline,0.000659201380809921,0.0015519834489978734,0.5230046948356808,0.15083103941722853,-0.13115217058705542,1065,0.016115920372688386,-0.7636263438400331
swing:rsi_reversion:SPY,swing,0.0006506371749041686,0.0,0.1405335068314899,0.05276410701814327,-0.0791326812364277,1537,0.032690925466533294,-0.1568240480900931
swing:rsi_reversion:NVDA,swing,0.0006448488099656508,0.0,0.12019623875715454,0.30067542639080136,-0.21399759441265787,1223,0.017410764209301766,-0.6568866610634464
swing:double_low:SPY,swing,0.0006270953066003151,0.0,0.2114508783344177,0.07150656398655642,-0.0791326812364277,1537,0.030240126757353103,-0.21212438690475433
swing:double_low:QQQ,swing,0.0005879253592526887,0.0,0.22596548890714874,0.06401077463958105,-0.07778200647470324,1217,0.02656899781165123,-0.27677733566681695
swing:ma_cross:VNQ,swing,0.0005471552299968211,0.0,0.38727076591154264,0.1461810990251129,-0.12303410622358313,927,0.01662926227251127,-0.3061397343908565
