Date,Open,High,Low,Close,Volume
2019-11-05,29.173782,29.250442,28.910265,29.006090,4294800
2019-11-06,29.010877,29.101912,28.723404,29.039625,5306800
2019-11-07,29.432508,29.676860,29.168991,29.336683,6090400
2019-11-08,29.192946,29.528332,28.986923,29.518749,4420600
2019-11-11,29.097120,29.408551,29.044416,29.379803,2980600
2019-11-12,29.466046,29.820598,29.293562,29.523540,7868800
2019-11-13,29.221698,29.681655,29.149829,29.561874,5929400
2019-11-14,29.456464,29.700817,29.264816,29.681652,4929800
2019-11-15,30.088903,30.328465,29.887673,30.328465,6263600
2019-11-18,30.242220,30.453036,30.093694,30.381166,3525600
2019-11-19,30.572820,30.572820,30.141609,30.338049,4613400
2019-11-20,30.160770,30.309297,29.504373,30.012241,6156000
2019-11-21,30.012245,30.045783,29.595409,29.863718,3825000
2019-11-22,30.084115,30.112861,29.724773,30.036201,3182400
2019-11-25,30.338047,30.735720,30.338047,30.726135,3856600
2019-11-26,30.764468,30.994449,30.644688,30.917788,3432600
2019-11-27,31.104644,31.334625,31.013613,31.320251,3643200
2019-11-29,31.152559,31.229221,30.912998,30.994452,2236200
2019-12-02,31.071104,31.080688,30.055364,30.199100,7987600
2019-12-03,29.322305,29.600195,28.876721,29.581032,7728200
2019-12-04,29.906836,30.309299,29.801430,30.108068,5083400
2019-12-05,30.333258,30.338049,29.854136,30.285345,4199800
2019-12-06,30.889043,31.229220,30.879459,31.085482,5764200
2019-12-09,30.965698,31.186094,30.778841,30.807590,2694400
2019-12-10,30.774053,30.999238,30.486578,30.687811,4041200
2019-12-11,30.841127,31.037566,30.711762,30.946531,4917800
2019-12-12,30.941746,31.995815,30.865085,31.741880,10368400
2019-12-13,31.660429,32.201836,31.406494,31.794582,8216600
2019-12-16,32.364733,32.647414,32.355148,32.460556,4623600
2019-12-17,32.565959,32.671366,32.446178,32.465343,3737200
2019-12-18,32.589918,32.671371,32.455764,32.460556,2885800
2019-12-19,32.503679,32.872606,32.498891,32.848648,4674200
2019-12-20,33.203212,33.500266,33.179254,33.346947,5420800
2019-12-23,33.548164,33.552957,33.375684,33.442760,3243400
2019-12-24,33.500817,33.510412,33.318488,33.433643,1739200
2019-12-26,33.539202,33.932652,33.534403,33.923054,2828000
2019-12-27,34.196554,34.201353,33.731135,33.908665,4203000
2019-12-30,33.937451,33.975834,33.174540,33.347275,5640600
2019-12-31,33.155352,33.659162,33.049792,33.591988,4322200
2020-01-02,34.100591,34.503640,33.769516,34.498840,5484200
2020-01-03,33.323291,34.105395,33.299303,33.750328,6434800
2020-01-06,33.102577,34.119791,33.073789,34.100597,4673800
2020-01-07,33.908669,34.057414,33.649567,33.803108,3871200
2020-01-08,33.879873,34.753140,33.783911,34.326103,7609000
2020-01-09,34.887491,35.050630,34.671575,35.026638,4257400
2020-01-10,35.237765,35.280947,34.561221,34.729156,4863000
2020-01-13,34.945067,35.434479,34.786727,35.429680,3547000
2020-01-14,35.280939,35.636002,35.074617,35.261745,5305400
2020-01-15,35.237754,35.770351,35.199368,35.506451,6929400
2020-01-16,35.976675,36.370125,35.890308,36.370125,3962200
2020-01-17,36.624425,36.777967,36.413305,36.710793,6911000
2020-01-21,36.346134,36.768372,36.326941,36.504475,5034600
2020-01-22,36.797158,37.022673,36.446890,36.523663,3390600
2020-01-23,36.254961,36.662808,35.842318,36.600430,5179000
2020-01-24,36.849943,36.859538,35.156186,35.616814,10740400
2020-01-27,33.759926,34.422072,33.620779,33.913467,13672800
